amount,p_month,p_age,p_gender,postal_code_id,id
69731.3602,2015-01-01,<=24,F,6055,1117
44448.97848,2015-01-01,<=24,M,6055,4627
323781.36434,2015-01-01,25-34,F,6055,10616
189536.54904,2015-01-01,25-34,M,6055,8095
403964.63368,2015-01-01,35-44,F,6055,6383
232620.8251,2015-01-01,35-44,M,6055,9642
404154.5104,2015-01-01,45-54,F,6055,6598
278122.32056,2015-01-01,45-54,M,6055,2704
351756.50542,2015-01-01,55-64,F,6055,2782
178607.96556,2015-01-01,55-64,M,6055,6830
284142.09564,2015-01-01,>=65,F,6055,9738
157343.30112,2015-01-01,>=65,M,6055,3834
62018.79622,2015-02-01,<=24,F,6055,5326
36886.77998,2015-02-01,<=24,M,6055,9203
232673.52112,2015-02-01,25-34,F,6055,7442
134540.87862,2015-02-01,25-34,M,6055,3545
242465.43362,2015-02-01,35-44,F,6055,894
173249.8009,2015-02-01,35-44,M,6055,4384
279568.8062,2015-02-01,45-54,F,6055,2020
214528.6036,2015-02-01,45-54,M,6055,8572
252286.00964,2015-02-01,55-64,F,6055,8814
141690.8626,2015-02-01,55-64,M,6055,2103
195949.664,2015-02-01,>=65,F,6055,5871
125916.5631,2015-02-01,>=65,M,6055,370
60451.77191,2015-03-01,<=24,F,6055,9190
39950.20004,2015-03-01,<=24,M,6055,5373
252763.14708,2015-03-01,25-34,F,6055,3406
142507.53794,2015-03-01,25-34,M,6055,7557
273227.71536,2015-03-01,35-44,F,6055,4241
206918.22084,2015-03-01,35-44,M,6055,959
317467.40882,2015-03-01,45-54,F,6055,8709
197976.74002,2015-03-01,45-54,M,6055,1891
260180.85206,2015-03-01,55-64,F,6055,2135
168477.68062,2015-03-01,55-64,M,6055,8775
210148.73742,2015-03-01,>=65,F,6055,391
143980.79946,2015-03-01,>=65,M,6055,5821
57020.85766,2015-04-01,<=24,F,6055,10458
37393.78058,2015-04-01,<=24,M,6055,7765
228185.38286,2015-04-01,25-34,F,6055,1282
132277.93786,2015-04-01,25-34,M,6055,4994
282637.72684,2015-04-01,35-44,F,6055,6840
178703.32084,2015-04-01,35-44,M,6055,2792
315212.45562,2015-04-01,45-54,F,6055,5822
238697.70482,2015-04-01,45-54,M,6055,9437
276409.06356,2015-04-01,55-64,F,6055,595
126679.68024,2015-04-01,55-64,M,6055,6394
227535.12024,2015-04-01,>=65,F,6055,1901
